Distribuidor;Nombre_Referencia;Precio_Bruto;Precio_Num_€;Bodega;Sociedad Limitada;Ciudad Origen;Pais;Tipo;Volumen (Formato);Descripción;Foto Botella;Precio aprox coste;Enlace Web
Bodeboca;Vinos de Rías Baixas;0,00 €;0.0;Desconocida;;;España;Blanco;50 cl;"Rías Baixas es la región vinícola más grande y reconocida de Galicia, donde la viña se encuentra con el océano Atlántico. En Bodeboca puedes explorar sus cinco subzonas, siendo el valle del Salnés y O Rosal las más famosas y las que concentran las bodegas más celebradas.

Aquí encontrarás blancos frescos, afilados y con una acidez vibrante que combinan de maravilla con multitud de propuestas gastronómicas. Aunque reina la uva Albariño, no pierdas de vista otras variedades autóctonas como la Loureira o la Treixadura, que aportan matices únicos a los coupages.

¿Ganas de norte? No nos extraña. Este es el destino ideal si te gustan los blancos vibrantes. Podríamos decir que estos vinos tienen un perfil similar a los rieslings del centro de Europa. Bodegas como Martín Códax, Palacio de Fefiñanes, Pazo Señorans, Fillaboa o Gerardo Méndez (Do Ferreiro) son perfectas para disfrutar de la esencia atlántica de esta denominación.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/espana/galicia/rias-baixas
Bodeboca;Vermouth La Copa Extra Seco;10.9 €;10.9;Desconocida;;;España;Rojo / Negre;75 cl;La receta con la que se ha elaborado este vermouth ha sido recuperada del archivo histórico de González Byass. Un archivo en el que hay referencias sobre vermouths desde el año 1896. Así, la casa realiza una selección de vinos finos para crear esta delicia, macerada con botánicos tan especiales como la ajedrea y el ajenjo y, también, con frutos rojos. Un trago perfecto tanto para degustar solo o como base de coctelería.;https://www.bodeboca.com/sites/default/files/wines/2022-07/bot-vermouth-lacopa-extra-seco.jpg;;https://www.bodeboca.com/vino/vermouth-copa-extra-seco
Decantalo;Vermut de Italia;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1 Litro;"IGT Terre Siciliane
                                                                                    (Sicilia)";https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/q/pais_italia/
Decantalo;Alvear Vermouth Rojo Artesano de Pedro Ximénez;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1.5 Litros (Magnum);Alvear Vermouth Rojo es un vermut muy potente y profundo. En nariz destacan las notas cítricas, de caramelo tostado, frutos secos, especias dulces. ebanistería y pasas. En boca es equilibrado y amplio, elegante y especiado. Fondo floral complementadas con los aromas a tostado, a café del PX y de madera noble. Final muy largo y definido.;https://www.decantalo.com/es/39896-large_default/alvear-vermouth-rojo.jpg;;https://www.decantalo.com/es/es/alvear-vermouth-rojo.html#/1-formato-75_cl/177-ano-sin_anada
Decantalo;Categoría: Vermut;0,00 €;0.0;Desconocida;;;España;Rojo / Negre;1 Litro;Esta es la lista de los vinos más vendidos de este momento en Decántalo.El Top 10 de vermut más vendido en nuestra tienda online. Encuentra y compra cómodamente el vermut mejor valorado según nuestros datos y la revisión de nuestros expertos sumilleres. Prueba nuevos vinos y descubre bodegas, sabores y matices con la seguridad de no estar catando un vino cualquiera. Sin duda, algunos de ellos pasarán a ser imprescindibles en tu bodega. Añade a tu carrito de compra los vinos del Top 10 de vermut. ¿Te los vas a perder?;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;;https://www.decantalo.com/es/es/vino/vermut/?top
Decantalo;Petroni Aperitivo;0,00 €;0.0;Desconocida;;;España;Blanco;1 Litro;Decántalo es tu tienda de vinos para comprar vino online. Vino español, vino francés, vino italiano. En Decántalo puedes comprar vino de los principales países vinícolas. Porque amamos el vino tanto como tú. Bienvenido a Decántalo, tu tienda de vinos de confianza.;https://www.decantalo.com/es/65201-large_default/petroni-aperitivo-75-cl.jpg;;https://www.decantalo.com/es/es/petroni-aperitivo-75-cl.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Últimas botellas;0,00 €;0.0;Desconocida;;;España;Blanco;50 cl;;/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/ultimas-botellas
Decantalo;Vermut Fernando de Castilla blanco;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);Vermut Fernando de Castilla blanco es un vermut natural potente y complejo. En nariz es afrutado, con aromas a uva moscatel y especias. En boca es semidulce, intento y largo, con sabores a ajenjo, clavo y tomillo.;https://www.decantalo.com/es/13952-large_default/vermut-fernando-de-castilla-blanco.jpg;;https://www.decantalo.com/es/es/vermut-fernando-de-castilla-blanco.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Vinos sin alcohol;0,00 €;0.0;Desconocida;;;España;Blanco;1.5 Litros (Magnum);"La revolución de los vinos sin alcohol ha llegado para quedarse. Olvida los prejuicios, ahora puedes brindar y disfrutar del sabor del vino sin las consecuencias del alcohol. En Bodeboca hemos seleccionado las mejores alternativas desalcoholizadas del mercado. No son mostos, son vinos reales fermentados a los que se les extrae el alcohol mediante técnicas respetuosas para conservar sus aromas y sabores.

Tienes opciones para todos los momentos: desde espumosos festivos para brindar, hasta blancos aromáticos y tintos con cuerpo para acompañar una comida. ¿Te toca conducir, te estás cuidando o simplemente tienes curiosidad por este tipo de productos? Descubre bodegas especializadas en ellos como Natureo (de Familia Torres) o Win, que han logrado mantener la esencia del vino en versión 0,0.";/themes/custom/bodeboca/fonts/svg/cross.svg;;https://www.bodeboca.com/vino/sin-alcohol
Bodeboca;Vermut Fernando de Castilla;15.4 €;15.4;Desconocida;;;España;Rojo / Negre;50 cl;La bodega jerezana ha recuperado la centenaria tradición de la zona de elaborar vermut respetando la esencia y la tradición. Sus vinos añejos de altísima calidad de Oloroso y PX han sido impregnados con 27 botánicos que los han transformado en un vermut completamente natural, sin ningún aroma añadido pero de una intensidad sorprendente. Un vermut potente y lleno de copmplejidad que debe disfrutarse con hielo. Elegante y refrescante.;https://www.bodeboca.com/sites/default/files/wines/2020-05/bot-vermut-fernando-de-castilla.jpg;;https://www.bodeboca.com/vino/vermut-fernando-castilla#block-productratings
