Distribuidor;Nombre Referencia;Precio con IVA;Productor o Bodega;Ciudad;Región;País;Tipo de Vermut;Descripción;Notas de Cata;Foto Botella;Enlace Web Oficial
Bodeboca;Vermut Atamán 50 cl;31,00 €;;;;España;Vermut Reserva;Vermut registrado en el año 1943 que se ha elaborado a partir de manzanillas de los históricos cascos bodegueros Angioletti y El Toro que se encuentran ubicados en el Barrio Alto de Sanlúcar de Barrameda. Se inspira en las antiguas reservas de Atamán, vinos quinados y vermuts viejos que ha almacenado Barbadillo durante décadas. Se desconoce por qué Manuel Barbadillo le puso el nombre de un cosaco a este vermut, posiblemente por su fuerza y potente carácter. La historia de Barbadillo se remonta a 1821, año en el que empezó a elaborar manzanilla. Desde entonces, no ha dejado de evolucionar buscando siempre vinos que sorprendan y dejen huella.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2019-04/bot-barbadillo-vermut-ataman.jpg;https://www.bodeboca.com/vino/vermut-ataman-50-cl#block-productratings
Bodeboca;Vermouth La Copa Extra Seco;14,53 €;;;;España;Vermut Rojo;La receta con la que se ha elaborado este vermouth ha sido recuperada del archivo histórico de González Byass. Un archivo en el que hay referencias sobre vermouths desde el año 1896. Así, la casa realiza una selección de vinos finos para crear esta delicia, macerada con botánicos tan especiales como la ajedrea y el ajenjo y, también, con frutos rojos. Un trago perfecto tanto para degustar solo o como base de coctelería. Made with fino Sherry, this pale-straw vermouth greets with a mild, slightly herbaceous aroma. The palate shows golden raisin and ripe pear tinged with basil and sweet cinnamon, with mouthwatering salinity on the finish. It's delightful to sip straight—especially when chilled—or mix into killer Martinis.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2022-07/bot-vermouth-lacopa-extra-seco.jpg;https://www.bodeboca.com/vino/vermouth-copa-extra-seco
Decántalo;Punt E Mes Vermouth;13,95 €;"Bodega
Carpano";;;España;Vermut;Sin descripción;Punt E Mes es un vermut que tiene un color anaranjado con tonalidades topacio. En nariz ofrece aromas que recuerdan a hierbas medicinales, quina y clavo. Su entrada en boca es inicialmente dulce pero va dejando paso a las notas amargas características de las cortezas de naranja y acaba con un final aún más dulce. Se recomienda beber solo, con una cáscara de naranja o como base de cócteles como el Manhattan.;https://www.decantalo.com/es/13959-large_default/punt-e-mes-vermouth.jpg;https://www.decantalo.com/es/es/punt-e-mes-vermouth.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Vermut San Bernabé Gran Reserva Especial;20,67 €;;;;España;Vermut Reserva;Este vermut de Vinícola Real (elaboradores de la gama de vinos 200 Monges) es un homenaje a la tierra riojana, madre de grandes vinos. Su nombre procede de la batalla de San Bernabé (1521), cuando muchos logroñeses corrián por los pasadizos de sus bodegas burlando la guardia enemiga con el fin de llegar al río Ebro por la noche y abastecerse de peces y vino con los que poder sobrevivir al asedio francés. Se elabora a partir de la maceración de plantas, raíces, hierbas y cortezas de cítricos en vinos tintos de Rioja. Se macera con 49 tipos de botánicos, entre ellos ajenjo, genciana, naranja, manzanilla, limón, canela y clavo.;Se muestra bonito a la vista, con un color rojo rubí con ribete teja. En nariz predominan aromas a fruta, licor, hierbas de monte y elegantes toques cítricos. Finalmente en boca es un vermut muy sabroso, carnoso, estructurado, persistente y muy equilibrado entre el dulce, el ácido y un amargo fino y elegante que invita a seguir degustándolo. | Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2016-06/bot-vermut-sanbernabe.jpg;https://www.bodeboca.com/vino/vermut-san-bernabe-gran-reserva-especial
Bodeboca;Vermut Fernando de Castilla;20,53 €;;;;España;Vermut;La bodega jerezana ha recuperado la centenaria tradición de la zona de elaborar vermut respetando la esencia y la tradición. Sus vinos añejos de altísima calidad de Oloroso y PX han sido impregnados con 27 botánicos que los han transformado en un vermut completamente natural, sin ningún aroma añadido pero de una intensidad sorprendente. Un vermut potente y lleno de copmplejidad que debe disfrutarse con hielo. Elegante y refrescante. En pleno casco histórico de Jerez se ubica esta bodega cuyos generosos hacen las delicias de los amantes de este tipo de vinos. Con una experiencia centenaria, Fernando de Castilla siempre ha ofrecido los productos más selectos de Jerez.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2020-05/bot-vermut-fernando-de-castilla.jpg;https://www.bodeboca.com/vino/vermut-fernando-castilla#block-productratings
Decántalo;Vermouth Rojo La Copa Reserva;14,75 €;"Bodega
González Byass";"Zona De Elaboración
Andalucía";;España;Vermut Rojo;Sin descripción;Con un profundo color ámbar, Vermouth Rojo La Copa Reserva se revela con intensos aromas de frutos secos, especias y una delicada nota de naranja amarga. En boca es suave y equilibrado, con una ligera amargura que se entrelaza con toques de canela, clavo y nuez moscada, aportando complejidad y profundidad. Su envejecimiento en botas de roble americano con olorosos le da un carácter distintivo que resalta su origen en el vino de Jerez. | Vermouth Rojo La Copa Reserva es una expresión sofisticada de esta maestría. Su base, compuesta por nobles soleras de Olorosos y Pedro Ximénez, se enriquece con una meticulosa selección de botánicos: ajenjo, ajedrea, clavo, naranja amarga, canela, nuez moscada, angélica y quina. El envejecimiento de 12 meses en botas de roble americano previamente envinadas con Olorosos durante dos años (Sherry Cask) le otorga una complejidad y profundidad únicas. En boca, su equilibrio entre dulzura y amargor, junto con notas especiadas y cítricas, lo convierten en un vermouth inconfundible, con la esencia del vino de Jerez en cada gota.;https://www.decantalo.com/es/70937-large_default/vermouth-rojo-la-copa-reserva.jpg;https://www.decantalo.com/es/es/vermouth-rojo-la-copa-reserva.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;Vermut de la bodega Yzaguirre;12,40 €;;;;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;https://www.decantalo.com/es/es/vino/vermut/q/bodega_vermut-yzaguirre/
Decántalo;Vermut Peregrino Rojo;14,75 €;"Bodega
Atlantic Galician Spirits";"Zona De Elaboración
Galicia";;España;Vermut Rojo;Sin descripción;Vermú Peregrino Rojo seduce con su brillante color caoba y despliega en nariz aromas de fruta compotada, canela y delicados matices herbales que evocan la frescura de la uva godello. En boca, la dulzura de la fruta madura se encuentra con el amargor elegante del ajenjo, mientras su textura sedosa acaricia el paladar hasta un final persistente donde frutos secos y hierbas del Camino de Santiago dejan una huella memorable, ideal para compartir momentos de conversación, aperitivo o celebración tranquila.;https://www.decantalo.com/es/66285-large_default/vermut-peregrino-rojo.jpg;https://www.decantalo.com/es/es/vermut-peregrino-rojo.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;Vermouth De Muller Iris Rojo;6,95 €;"Bodega
De Muller";"Zona De Elaboración
Cataluña";;España;Vermut Rojo;Sin descripción;No disponibles;https://www.decantalo.com/es/63878-large_default/vermouth-de-muller-iris-rojo.jpg;https://www.decantalo.com/es/es/vermouth-de-muller-iris-rojo.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;61 Vermouth Verdejo;14,53 €;;;;España;Vermut;61 Vermouth Verdejo es posíblemente el único del mercado elaborado a partir de la variedad Verdejo. Se embotella en una botella jerezana para reivindicar su personalidad vinícola. Este vermouth original es fruto del ensamblaje de un 50% de vino fermentado en barrica criado sobre lías y otro 50% de vino joven. El objetivo es que el resultado, macerado con la selección de botánicos escogidos por Roberto L. Tello, exprese y respete el carácter de la uva. Misión cumplida. Con más de 80 años de historia a sus espaldas, esta bodega es una de las más potentes de la Denominación de Origen Rueda. Allí elaboran hasta 15 millones de botellas cada añada.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2021-07/bot-61-vermouth.jpg;https://www.bodeboca.com/vino/61-vermouth-verdejo
