slug,name,city,query,candidatePlaceId,candidateName,candidateAddress,matchScore,googleMapsUri
102-house-restaurant-2,102 House,Shanghai,102 House Shanghai Shanghai,ChIJrw--GVhwsjURcDAraVEUnsg,The House of Roosevelt,"27 Zhong Shan Dong Yi Lu, Waitan, Huang Pu Qu, Shang Hai Shi, China, 200002",0.213,https://maps.google.com/?cid=14456014193795215472&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
1930-2,1930,Milan,1930 Milan Italy,ChIJiSX8P8PDhkcRfHhfJ4XUR8w,1930 Cocktail Bar,"Via Edmondo de Amicis, 22, 20123 Milano MI, Italia",0.814,https://maps.google.com/?cid=14719967575440062588&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
7th-door-restaurant-2,7th Door,Seoul,7th Door Seoul 41 4층,ChIJJ1xm8n-lfDUR5AOAQSJ0oeM,7th Door,"Corea del Sur, Seoul, Gangnam District, Hakdong-ro 97-gil, 41 4층",0.875,https://maps.google.com/?cid=16402519008336675812&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
a-casa-do-porco-restaurant,A Casa do Porco,São Paulo,A Casa do Porco São Paulo Brazil,ChIJK76a5E5YzpQRCoY7nm1M3-k,A Casa do Porco Bar,"R. Araújo, 124 - República, São Paulo - SP, 01220-020, Brasil",1.000,https://maps.google.com/?cid=16852272364333532682&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
acamaya-restaurant-2,Acamaya,New Orleans,Acamaya New Orleans LA 70117,ChIJ1_GQtPSnIIYRHIOEV_boIHM,Acamaya,"3070 Dauphine St, New Orleans, LA 70117, EE. UU.",0.750,https://maps.google.com/?cid=8295886658344354588&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
addison-by-william-bradley-restaurant-2,Addison by William Bradley,San Diego,Addison by William Bradley San Diego United States,ChIJrVfI5sEH3IARfAmbFue9xNc,ADDISON BY WILLIAM BRADLEY,"5200 Grand Del Mar Way, San Diego, CA 92130, EE. UU.",0.875,https://maps.google.com/?cid=15547760613804149116&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
afluente-restaurant,Afluente,Bogotá,Afluente Bogotá Colombia,ChIJp2-bW3ubP44RfxtjR_I9OTY,Afluente Restaurante,"Cra 3a #57 -35, Bogotá, Colombia",0.750,https://maps.google.com/?cid=3907222262509673343&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
albi-restaurant-2,Albi,Washington DC,Albi Washington DC United States,ChIJ240L8N25t4kRCoGiQ2-21bI,Albi,"1346 4th St SE, Washington, DC 20003, EE. UU.",1.000,https://maps.google.com/?cid=12886406497782890762&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
alcalde-restaurant,Alcalde,Guadalajara,Alcalde Guadalajara Mexico,ChIJSxhI0W6uKIQRLbizqZhTQuQ,Restaurante Alcalde,"Av. México 2903, Vallarta Nte., 44690 Guadalajara, Jal., México",0.750,https://maps.google.com/?cid=16447800704257734701&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
alchemist-restaurant-2,Alchemist,Copenhagen,Alchemist Copenhagen Denmark,ChIJGbFWVvBSUkYR5x0i6Z836Ao,Alchemist,"Refshalevej 173C, 1432 København, Dinamarca",0.800,https://maps.google.com/?cid=785939294926806503&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
alice-2,Alice,Seoul,Alice Seoul Seoul,ChIJ1SQnb3ikfDURcbiz6NFB5h0,Alice Cheongdam,"Corea del Sur, Seoul, Gangnam District, Dosan-daero 55-gil, 47 지하 1층",0.939,https://maps.google.com/?cid=2154481841551423601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
alquimico-2,Alquímico,Cartagena,Alquímico Cartagena Colombia,ChIJ7zMvlZ8v9o4RWCwfENTkEbc,ALQUÍMICO,"Cl. del Colegio #34-24, El Centro, Cartagena de Indias, Bolívar, Colombia",1.000,https://maps.google.com/?cid=13191576382999571544&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
angels-share,Angel's Share,New York,Angel's Share New York United States,ChIJiyiwQFdZwokR7rsRrrchLJk,Angel’s Share,"45 Grove St, New York, NY 10014, EE. UU.",0.750,https://maps.google.com/?cid=11037233859561372654&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
annalena-restaurant-2,AnnaLena,Vancouver,AnnaLena Vancouver Canada,ChIJJ_oZQcpzhlQRYmMyGpKp7PA,AnnaLena,"1809 W 1st Ave, Vancouver, BC V6J 4M6, Canadá",1.000,https://maps.google.com/?cid=17360437108576248674&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
aramburu-restaurant,Aramburu,Buenos Aires,Aramburu Buenos Aires Argentina,ChIJUwhogCjLvJURazYFxCm6cUM,Aramburu Relais & Châteaux,"Pasaje del Correo, Vicente López 1661, C1103ACY Cdad. Autónoma de Buenos Aires, Argentina",0.714,https://maps.google.com/?cid=4859870161454577259&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
arami-restaurant,Arami,La Paz,Arami La Paz Bolivia,ChIJ4fN0HQAhX5ERZ_OAO-Jkvng,Arami,"Av. Aviador 77, La Paz, Bolivia",0.750,https://maps.google.com/?cid=8700502452950070119&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
arca-restaurant,Arca,Tulum,Arca Tulum Mexico,ChIJJ-ohbMvQT48RUyLPOYlArC0,ARCA,"Carr. Tulum-Boca Paila km 7.6, Tulum Beach, 77780 Tulum, Q.R., México",0.875,https://maps.google.com/?cid=3291076385825563219&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
argo-2,Argo,Hong Kong,Argo Hong Kong Hong Kong,ChIJa0m0W30BBDQRJIxB7UyZMIU,ARGO,"8 Finance St, Central, Hong Kong",0.975,https://maps.google.com/?cid=9597339361603587108&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
arpege-restaurant-2,Arpège,Paris,Arpège Paris France,ChIJQ-oAFypw5kcR2T9NszPcZO4,Arpège,"84 Rue de Varenne, 75007 Paris, Francia",1.000,https://maps.google.com/?cid=17178096993307541465&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
asador-etxebarri-restaurant-2,Asador Etxebarri,Atxondo,Asador Etxebarri Atxondo Spain,ChIJfwMp6PLSTw0RFlSWXV3fkio,Asador Etxebarri,"San Juan Plaza, 1, 48291 Axpe-Martzaa / Axpe Marzana, Bizkaia, España",0.800,https://maps.google.com/?cid=3067759888287814678&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
aska-restaurant-2,Aska,New York,Aska New York United States,ChIJUwatTl1ZwokRUDXxYoFa-hk,Aska,"47 S 5th St, Brooklyn, NY 11249, EE. UU.",0.550,https://maps.google.com/?cid=1871908106883118416&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
atelier-crenn-restaurant-2,Atelier Crenn,San Francisco,Atelier Crenn San Francisco United States,ChIJx1ULhNCAhYARSRq9NDWTeqI,Atelier Crenn,"3127 Fillmore St, San Francisco, CA 94123, EE. UU.",0.875,https://maps.google.com/?cid=11707832038030383689&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
atelier-moessmer-norbert-niederkofler-restaurant-2,Atelier Moessmer Norbert Niederkofler,Brunico,Atelier Moessmer Norbert Niederkofler Brunico 39031,ChIJf6LW4bcheEcRuUfcDFw1q30,Atelier Moessmer Norbert Niederkofler,"Via Walther von der Vogelweide, 17, 39031 Brunico BZ, Italia",0.925,https://maps.google.com/?cid=9055390145227540409&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
atomix-restaurant-3,Atomix,New York,Atomix New York USA,ChIJ3bmAHghZwokRRXYO57yLuss,ATOMIX,"104 E 30th St, New York, NY 10016, EE. UU.",0.750,https://maps.google.com/?cid=14680199578814150213&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
attaboy,Attaboy,New York,Attaboy New York United States,ChIJDbQMBIdZwokRVS4L8B8V5SA,Attaboy,"134 Eldridge St, New York, NY 10002, EE. UU.",1.000,https://maps.google.com/?cid=2370324005795868245&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
au-jardin-restaurant-2,Au Jardin,Penang,Au Jardin Penang Malaysia,ChIJO7pVFaDDSjARUI1CyPfDXwM,Restaurant au Jardin,"125, Jalan Timah, 10150 George Town, Pulau Pinang, Malasia",0.800,https://maps.google.com/?cid=243128373885439312&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
august-restaurant-2,August,Jakarta,August Jakarta Jakarta 12190,ChIJWakHrTXxaS4Rf8RXhBHg-W4,August Jakarta,"Sequis Tower - Ground Floor #03-02, Jl. Jenderal Sudirman No.Kav. 71, RT.5/RW.3, Senayan, Kec. Kby. Baru, Jakarta, Daerah Khusus Ibukota Jakarta 12190, Indonesia",0.889,https://maps.google.com/?cid=7996668979212436607&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
avize-restaurant-2,Avize,Atlanta,Avize Atlanta GA 30318,ChIJK9Gk2YYF9YgR3f-T6fTabpY,Avize Modern Alpine,"956 Brady Ave NW, Atlanta, GA 30318, EE. UU.",0.714,https://maps.google.com/?cid=10839842098553028573&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
