slug,tripadvisorUrl,rating,address,tripadvisorPlaceId,googleBusinessId,priceLevel,cuisineLabels,amenities,features,awards
maido-restaurant-2,https://tripadvisor.es/Restaurant_Review-g294316-d1759465-Reviews-Maido-Lima_Lima_Region.html,,"San Martín 399, Miraflores, Lima, Peru",d1759465,ChIJObzkJx_IBZERAQaFKNwiTws,2,japanese|peruvian,accepts_credit_cards,,worlds50best
bar-leone-3,https://tripadvisor.es/Restaurant_Review-g294217-d31393007-Reviews-Bar_Leone-Hong_Kong.html,,"15 Bridges St, Central, Hong Kong",d31393007,ChIJqyyPsGUBBDQRE5twNod5Lk8,2,italian,accepts_credit_cards,,worlds50best
asador-etxebarri-restaurant-2,,,"San Juan Plaza, 1, 48291 Axpe, Bizkaia, Spain",,,2,americana|american,accepts_credit_cards,,worlds50best
handshake-speakeasy-3,,,"C. Amberes 65, Juárez, Cuauhtémoc, 06600 Mexico City, Mexico",,,2,,accepts_credit_cards,,worlds50best
quintonil-restaurant-3,,,"Newton 55, Polanco, 11560, Mexico City, Mexico",,ChIJbS8EZf8B0oURwwD8B0MpqK0,2,mexican,accepts_credit_cards,groups|scenic_view,worlds50best
sips-2,,,"C/ de Muntaner, 108, 08036 Barcelona, Spain",,ChIJVeGtVgijpBIRGhWNVpFekW0,2,,accepts_credit_cards,romantic,worlds50best
diverxo-restaurant-2,,,"NH Eurobuilding, C. del Padre Damián, 23, 28036 Madrid, Spain",,ChIJfUIagAMpQg0RRYLx9K82nJc,2,japanese|italian|india|griega|indian|greek,accepts_credit_cards,,worlds50best|michelin
paradiso-2,,,"Carrer de Rera Palau, 4, 08003 Barcelona, Spain",,ChIJUxwdO_6ipBIRdMGRVDsolaM,2,,accepts_credit_cards,,worlds50best
tayer-elementary-2,,,"152 Old St, London EC1V 9BW, UK",,ChIJP72YPh8ddkgRHAMOeJp_gEI,2,,accepts_credit_cards,,worlds50best
alchemist-restaurant-2,,,"Refshalevej 173C, 1432 Copenhagen, Denmark",,,2,seafood,reservations|accepts_credit_cards,,worlds50best
gaggan-restaurant-3,,,"68 Sukhumvit 31, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",,,2,japanese|french|thai|india|indian,accepts_credit_cards,romantic|groups,worlds50best
connaught-bar-2,,,"Connaught, Carlos Pl, London W1K 2A, UK",,,2,,accepts_credit_cards,,worlds50best
moebius-milano-2,,,"Via Alfredo Cappellini, 25, 20124 Milano MI, Italy",,ChIJSVm3PfbHhkcRPeDWzSh9BS8,2,french|fusion,accepts_credit_cards,romantic,worlds50best
sezanne-restaurant-3,,,"1 Chome-11-1 Marunouchi, Chiyoda City, Tokyo 100-6277, Japan",,,2,french,accepts_credit_cards,scenic_view,worlds50best
line-2,,,"Agathodemonos 37, Orestou 1, 118 53 Athens, Greece",,,2,mediterranean|griega|greek,accepts_credit_cards,,worlds50best
