slug,name,city,searchUrl
102-house-restaurant-restaurant,102 House,Shanghai,https://www.tripadvisor.es/Search?q=102%20House%20Shanghai
102-house-restaurant,102 House,Shanghai,https://www.tripadvisor.es/Search?q=102%20House%20Shanghai
1930,1930,Milan,https://www.tripadvisor.es/Search?q=1930%20Milan
acamaya-restaurant,Acamaya,New Orleans,https://www.tripadvisor.es/Search?q=Acamaya%20New%20Orleans
addison-by-william-bradley-restaurant-restaurant,Addison by William Bradley,San Diego,https://www.tripadvisor.es/Search?q=Addison%20by%20William%20Bradley%20San%20Diego
addison-by-william-bradley-restaurant,Addison by William Bradley,San Diego,https://www.tripadvisor.es/Search?q=Addison%20by%20William%20Bradley%20San%20Diego
afluente-restaurant,Afluente,Bogotá,https://www.tripadvisor.es/Search?q=Afluente%20Bogot%C3%A1
albi-restaurant,Albi,Washington DC,https://www.tripadvisor.es/Search?q=Albi%20Washington%20DC
alchemist-restaurant,Alchemist,Copenhagen,https://www.tripadvisor.es/Search?q=Alchemist%20Copenhagen
alice,Alice,Seoul,https://www.tripadvisor.es/Search?q=Alice%20Seoul
alquimico,Alquímico,Cartagena,https://www.tripadvisor.es/Search?q=Alqu%C3%ADmico%20Cartagena
angels-share,Angel's Share,New York,https://www.tripadvisor.es/Search?q=Angel's%20Share%20New%20York
annalena-restaurant,AnnaLena,Vancouver,https://www.tripadvisor.es/Search?q=AnnaLena%20Vancouver
arca-restaurant,Arca,Tulum,https://www.tripadvisor.es/Search?q=Arca%20Tulum
argo,Argo,Hong Kong,https://www.tripadvisor.es/Search?q=Argo%20Hong%20Kong
arpege-restaurant,Arpège,Paris,https://www.tripadvisor.es/Search?q=Arp%C3%A8ge%20Paris
asador-etxebarri-restaurant,Asador Etxebarri,Atxondo,https://www.tripadvisor.es/Search?q=Asador%20Etxebarri%20Atxondo
aska-restaurant-restaurant,Aska,New York,https://www.tripadvisor.es/Search?q=Aska%20New%20York
aska-restaurant,Aska,New York,https://www.tripadvisor.es/Search?q=Aska%20New%20York
atelier-crenn-restaurant,Atelier Crenn,San Francisco,https://www.tripadvisor.es/Search?q=Atelier%20Crenn%20San%20Francisco
atelier-crenn-restaurant-restaurant,Atelier Crenn,San Francisco,https://www.tripadvisor.es/Search?q=Atelier%20Crenn%20San%20Francisco
atelier-moessmer-norbert-niederkofler-restaurant-restaurant,Atelier Moessmer Norbert Niederkofler,Brunico,https://www.tripadvisor.es/Search?q=Atelier%20Moessmer%20Norbert%20Niederkofler%20Brunico
atelier-moessmer-norbert-niederkofler-restaurant,Atelier Moessmer Norbert Niederkofler,Brunico,https://www.tripadvisor.es/Search?q=Atelier%20Moessmer%20Norbert%20Niederkofler%20Brunico
atomix-restaurant-restaurant-restaurant,Atomix,New York,https://www.tripadvisor.es/Search?q=Atomix%20New%20York
atomix-restaurant-restaurant,Atomix,New York,https://www.tripadvisor.es/Search?q=Atomix%20New%20York
atomix-restaurant,Atomix,New York,https://www.tripadvisor.es/Search?q=Atomix%20New%20York
au-jardin-restaurant,Au Jardin,Penang,https://www.tripadvisor.es/Search?q=Au%20Jardin%20Penang
august-restaurant-restaurant,August,Jakarta,https://www.tripadvisor.es/Search?q=August%20Jakarta
august-restaurant,August,Jakarta,https://www.tripadvisor.es/Search?q=August%20Jakarta
avize-restaurant-restaurant,Avize,Atlanta,https://www.tripadvisor.es/Search?q=Avize%20Atlanta
avize-restaurant,Avize,Atlanta,https://www.tripadvisor.es/Search?q=Avize%20Atlanta
baba-au-rum,Baba au Rum,Athens,https://www.tripadvisor.es/Search?q=Baba%20au%20Rum%20Athens
bandista,Bandista,Houston,https://www.tripadvisor.es/Search?q=Bandista%20Houston
bar-benfiddich,Bar Benfiddich,Tokyo,https://www.tripadvisor.es/Search?q=Bar%20Benfiddich%20Tokyo
bar-benfiddich-bar,Bar Benfiddich,Tokyo,https://www.tripadvisor.es/Search?q=Bar%20Benfiddich%20Tokyo
cham-bar,Bar Cham,Seoul,https://www.tripadvisor.es/Search?q=Bar%20Cham%20Seoul
bar-leone-bar,Bar Leone,Hong Kong,https://www.tripadvisor.es/Search?q=Bar%20Leone%20Hong%20Kong
bar-leone,Bar Leone,Hong Kong,https://www.tripadvisor.es/Search?q=Bar%20Leone%20Hong%20Kong
bar-madonna,Bar Madonna,New York,https://www.tripadvisor.es/Search?q=Bar%20Madonna%20New%20York
bar-mauro,Bar Mauro,Mexico City,https://www.tripadvisor.es/Search?q=Bar%20Mauro%20Mexico%20City
bar-nouveau,Bar Nouveau,Paris,https://www.tripadvisor.es/Search?q=Bar%20Nouveau%20Paris
bar-sathorn,Bar Sathorn,Bangkok,https://www.tripadvisor.es/Search?q=Bar%20Sathorn%20Bangkok
bar-spirit-forward,Bar Spirit Forward,Bengaluru,https://www.tripadvisor.es/Search?q=Bar%20Spirit%20Forward%20Bengaluru
bar-trigona,Bar Trigona,Kuala Lumpur,https://www.tripadvisor.es/Search?q=Bar%20Trigona%20Kuala%20Lumpur
bar-us-bar-bar,Bar Us,Bangkok,https://www.tripadvisor.es/Search?q=Bar%20Us%20Bangkok
bar-us-bar,Bar Us,Bangkok,https://www.tripadvisor.es/Search?q=Bar%20Us%20Bangkok
bar-us,Bar Us,Bangkok,https://www.tripadvisor.es/Search?q=Bar%20Us%20Bangkok
barc,Barc,Kathmandu,https://www.tripadvisor.es/Search?q=Barc%20Kathmandu
beba-restaurant,Beba,Montreal,https://www.tripadvisor.es/Search?q=Beba%20Montreal
bekeb,Bekeb,San Miguel de Allende,https://www.tripadvisor.es/Search?q=Bekeb%20San%20Miguel%20de%20Allende
belcanto-restaurant,Belcanto,Lisbon,https://www.tripadvisor.es/Search?q=Belcanto%20Lisbon
benu-restaurant,Benu,San Francisco,https://www.tripadvisor.es/Search?q=Benu%20San%20Francisco
bium-restaurant,Bium,Seoul,https://www.tripadvisor.es/Search?q=Bium%20Seoul
bkk-social-club-bar-bar,BKK Social Club,Bangkok,https://www.tripadvisor.es/Search?q=BKK%20Social%20Club%20Bangkok
bkk-social-club-bar,BKK Social Club,Bangkok,https://www.tripadvisor.es/Search?q=BKK%20Social%20Club%20Bangkok
bkk-social-club,BKK Social Club,Bangkok,https://www.tripadvisor.es/Search?q=BKK%20Social%20Club%20Bangkok
boilermaker-bar,Boilermaker,Goa,https://www.tripadvisor.es/Search?q=Boilermaker%20Goa
boilermaker,Boilermaker,Goa,https://www.tripadvisor.es/Search?q=Boilermaker%20Goa
bon-vivants,Bon Vivants,Nassau,https://www.tripadvisor.es/Search?q=Bon%20Vivants%20Nassau
borago-restaurant,Boragó,Santiago,https://www.tripadvisor.es/Search?q=Borag%C3%B3%20Santiago
born-restaurant-restaurant,Born,Singapore,https://www.tripadvisor.es/Search?q=Born%20Singapore
born-restaurant,Born,Singapore,https://www.tripadvisor.es/Search?q=Born%20Singapore
cantina-del-tigre-restaurant,Cantina del Tigre,Panama City,https://www.tripadvisor.es/Search?q=Cantina%20del%20Tigre%20Panama%20City
caprice-restaurant,Caprice,Hong Kong,https://www.tripadvisor.es/Search?q=Caprice%20Hong%20Kong
caretakers-cottage,Caretaker's Cottage,Melbourne,https://www.tripadvisor.es/Search?q=Caretaker's%20Cottage%20Melbourne
carrots-bar,Carrots Bar,Jakarta,https://www.tripadvisor.es/Search?q=Carrots%20Bar%20Jakarta
cat-bite-club,Cat Bite Club,Singapore,https://www.tripadvisor.es/Search?q=Cat%20Bite%20Club%20Singapore
celele-restaurant,Celele,Cartagena,https://www.tripadvisor.es/Search?q=Celele%20Cartagena
cesar-restaurant,César,New York,https://www.tripadvisor.es/Search?q=C%C3%A9sar%20New%20York
chef-tams-seasons-restaurant,Chef Tam's Seasons,Macau,https://www.tripadvisor.es/Search?q=Chef%20Tam's%20Seasons%20Macau
chubby-fish-restaurant-restaurant,Chubby Fish,Charleston,https://www.tripadvisor.es/Search?q=Chubby%20Fish%20Charleston
chubby-fish-restaurant,Chubby Fish,Charleston,https://www.tripadvisor.es/Search?q=Chubby%20Fish%20Charleston
civil-works,Civil Works,Toronto,https://www.tripadvisor.es/Search?q=Civil%20Works%20Toronto
clemente-bar,Clemente Bar,New York,https://www.tripadvisor.es/Search?q=Clemente%20Bar%20New%20York
cmyk,CMYK,Changsha,https://www.tripadvisor.es/Search?q=CMYK%20Changsha
cmyk-bar,CMYK,Changsha,https://www.tripadvisor.es/Search?q=CMYK%20Changsha
coa-bar,Coa,Hong Kong,https://www.tripadvisor.es/Search?q=Coa%20Hong%20Kong
coa,Coa,Hong Kong,https://www.tripadvisor.es/Search?q=Coa%20Hong%20Kong
cochinchina,CoChinChina,Buenos Aires,https://www.tripadvisor.es/Search?q=CoChinChina%20Buenos%20Aires
connaught-bar,Connaught Bar,London,https://www.tripadvisor.es/Search?q=Connaught%20Bar%20London
corima-restaurant,Corima,New York,https://www.tripadvisor.es/Search?q=Corima%20New%20York
cosmo-pony,Cosmo Pony,Jakarta,https://www.tripadvisor.es/Search?q=Cosmo%20Pony%20Jakarta
